流速	流速，是流体的流动速度。
奠祭	奠祭是一种通过撒酒向神献祭的仪式，许多宗教都有此种仪式。 中国古代有酹（ㄌㄟˋ）、奠酹、荐酹等仪式，在祭祀后以酒洒地。
禾虫	禾虫，亦称流蜞，是沙蚕的一种，学名疣吻沙蚕（Tylorrhynchus heterochaeta），属环节动物多毛纲。
天承	天承（1131年2月28日~1132年9月21日）是日本的年号之一。使用这个年号的天皇是崇德天皇，由鸟羽上皇实施院政。
良娣	良娣是中国、越南皇太子及朝鲜王朝王世子之妾室的最高位号。其地位仅次于正室，即中国、越南的皇太子妃及朝鲜王朝的王世子嫔。
面罩	面罩是一种防具，旨在保护佩戴者的整个面部免受诸如抛体、道路碎片、实验室中化学品飞溅或医院内潜在的病毒或细菌造成的伤害。
遇岩	遇岩是中华人民共和国辽宁省大连市南部的无人礁石，又名财神礁，是中国领海基线点之一，距大连海岸线约18海里（33公里）。
瑶光	瑶光（或作「摇光」，η UMa / 大熊座η）是北斗七星之一，亦称北斗七，位于大熊座，是北斗七星最东边（左侧）的恒星。
小寨	小寨是西安的一个地名，位于陕西省西安市南郊，主要指小寨西路、小寨东路与长安中路交叉路口附近的地域，距离永宁门约四公里。
稠李	稠李（学名：Prunus padus），又名臭耳子（甘肃）、臭李子（东北），是蔷薇科李属的植物，原生于欧洲至东亚一带。
康永	康永（1342年6月1日至1345年11月15日）是日本北朝的年号之一。这个时代的天皇是光明天皇，由光严上皇开设院政。
新发	新发，是台湾宜兰县壮围乡的一个传统地域名称，位于该乡北部。相较于今日行政区，其范围大致包括新社村西半部、古亭村最北端。
饮片	饮片（英文：prepared drug in pieces），在中药学中是指初步加工或经过炮制后，直接用于配方的中药。
连弩	连弩是一种古代的远射武器，改进自弩，共分两种。一种是能把箭连续不断射向敌人的连发式；另一种是能同时发射多支箭的多发式。
示现	示现是指在文句中运用想像力与形象化的描述，将过去、未来、或无法亲眼目睹的事物，凭借文字的描述，呈现在读者面前的修辞法。
瑞星	瑞星（ずいせい）是一款二战期间由日本三菱重工开发的活塞式航空发动机。该发动机共有14缸，为气冷式的双排径向增压发动机。
柯马	柯马（COnsorsio MAcchine Utensili，Comau），是意大利一家跨国公司，总部位于意大利都灵。
古莱	古莱是法国奥恩省的一个旧市镇，位于该省中部偏北，属于阿让唐区。2018年，古莱与临近的2个市镇合并为新市镇奥恩河畔蒙。
庙妓	庙妓，又称圣妓，是指在庙宇里生活，为朝拜者提供性服务的人。圣妓的历史由来已久，不论是古代的印度、迦南或小亚细亚都有过。
双冬	双冬，是台湾南投县草屯镇的一个传统地域名称，位于该镇东部。相较于今日行政区，其范围大致包括双冬里、平林里、土城里东部。
马殊	马殊（Norman Oswald Cyril Marsh；6月7日）是英国商人，在锡兰和香港经商，曾任香港立法局议员。
巴鲣	巴鲣，俗名鲔、烟仔鱼、花烟、三点仔，是辐鳍鱼纲鲈形目鲭亚目鲭科的其中一种。 分布 本鱼分布于印度西太平洋区的温暖海域。
焦炭	焦炭是一种低杂质的高碳含量燃料，一般为煤炭Destructive distillation或焦煤干馏后残存的固态产物。
长承	长承（1132年9月21日~1135年6月10日）是日本的年号之一。使用这个年号的天皇是崇德天皇，由鸟羽上皇实施院政。
汁物	汁物，是日本料理中汤的总称，使用已调味的汤加上配料，例如用面豉调味味噌汤、豉油调味清汤和用盐调味潮汁等不同种类的汁物。
暗沙	暗沙（Ocean bank）是一个海洋区域，一般位于海平面以下。暗沙位于海洋较浅的位置，通常覆盖有碎屑沙粒的珊瑚礁体。
符卡	符卡（スペルカード，Spell card）是由同人社团「上海爱丽丝幻乐团」制作的游戏东方Project作中搭载的系统。
狄刻	狄刻（Δίκη、Dike，字面意思为“正义(Justice)”）是希腊神话中代表公正，公平判决的权利和法律的正义女神。
石屯	石屯，原写为石墩，是台湾桃园市大溪区的一个传统地域名称，位于该区中部偏东北。相较于今日行政区，其范围大致为月眉里中部。
美泉	美泉（Schöner Brunnen）是一个14世纪喷泉，位于德国纽伦堡的大集市广场，毗邻市政厅，为该市主要名胜之一。
虚岁	虚岁，是计算年龄的方法之一，和周岁同为中国大陆、香港、澳门、台湾等地传统的年龄计算方法，并自古代以来通行于中华文化圈。
黎根	黎根（9月9日），香港滑浪风帆教练，他是香港奥运金牌得主——「风之后」李丽珊的舅父和启蒙老师，也是台湾艺人周群达的父亲。
地蜡	地蜡是（英语：ozokerite，亦作OZOCERUTE，这个词语来源于希腊文ozokēros，意思是“有气味的蜡”）。
这也	这也是白菜卷。 白菜卷（cabbage roll, stuffed cabbage），是一道以白菜叶包裹各种馅料的菜肴。
金固	金固（Kingu），是美索不达米亚神话的神明，意思为「无技术劳动者」，为迪亚马特的儿子与第二任丈夫，最后被马尔杜克所杀。
卒中	卒中（apoplexy）是指在器官内部的出血以及其伴随的症状，例如Ovarian apoplexy是指卵巢中出血的症状。
辰韩	辰韩（진한），是古代（公元前2世纪末至公元后4世纪左右）朝鲜半岛南部部落之一，在洛东江以东庆尚道，与马韩及弁韩合称三韩。
轮生	轮生（whorl或verticil）是植物学中的一个概念，指植物的叶、萼片、花瓣、雄蕊或心皮等的轮状（辐射状）排列方式。
胆碱	胆碱（Choline），是一种营养素，为构成细胞膜磷脂质的重要成分，也是人体合成甘胺酸的原料之一，广泛存在于各种食物中。
机翼	机翼是为固定翼航空器（包括飞机和滑翔机）提供升力的主要部件，模仿鸟类的翅膀，维持其在空中的稳定飞行以及提供必要的操纵力。
景祐	景祐（十一月）是宋仁宗赵祯的第三个年号，北宋使用该年号共计5年。 年号含义 “景”的意思是“大”，“祐”为“神仙保佑”。
吕剧	吕剧是中国山东省地方戏，旧称“化妆扬琴”或“扬琴戏”，是山东的地方剧种，流行于山东大部和江苏、安徽、东北三省的部分地区。
石犀	石犀是成都博物馆的镇馆之宝之一，2012年出土。该石犀极有可能是李冰治水时用于镇水的神兽，具有极高的考古研究和艺术价值。
属尽	属尽是指汉朝皇帝后代的皇室成员因为和在任的皇帝关系过于疏远而丧失宗室资格，也不再拥有宗室的特权，也就是必须服兵役和徭役。
泥靡	泥靡（泥靡），是乌孙的昆弥，号狂王。军须靡死的时候，因为儿子泥靡尚小，传位给堂弟翁归靡，泥靡长大后，翁归靡再让位给泥靡。
黄旭	黄旭，江苏南通人，中国国家体操队运动员，是一名全能型的选手，强项为双杠和鞍马。他的技术特点是动作幅度大、韵律好、规格高。
核雕	核雕是中国民间传统美术工艺，指在青橄榄、桃、杏、杨梅、核桃等核果的果核上微雕、镂刻的技术，也指用这种技术雕刻成的艺术品。
明戈	明戈（Migo，日语：ミゴー）是一种据传生存于巴布亚新几内亚新不列颠达卡塔瓦湖（Lake Dakataua）的神秘生物。
椰浆	椰浆（Coconut milk）是从成熟的椰子的椰肉中榨出来的奶白色液体，与椰子中原有的半透明香甜味液体（椰子水）不同。
辑佚	辑佚是对已经失传，但其内容等仍以引用的形式保存在其它存世文献中的文献材料加以搜集整理，使得佚失的书籍文献恢复原貌的行为。
研科	研科（英文：Telus，T，T.A，TU）是加拿大一间以电讯服务为主体的公司。主要业务包括固定电话，移动电话，互联网等。
熨烫	熨烫是指使用加热工具（例如熨斗）以去除织物上的皱褶。不同的织物需使用不同的温度进行熨烫，一般在180-220摄氏度左右。
青年	青年（JONG）是荷兰的一个政党，成立于2017年，由来自哈斯特的亚科布·德赫罗特（Jacob de Groot）建立。
爱彼	爱彼（英文：Audemars Piguet），是瑞士顶级钟表品牌、制造商，总部位于瑞士布拉苏斯（Le Brassus）。
相门	相门是中国江苏省苏州市的一座城门，位于苏州古城及平江路历史街区东侧，东临护城河，处于连接古城区与苏州工业园区的交通要津。
圣行	圣行（阿拉伯语：سنة，音译逊奈）是阿拉伯语用语，指习惯或惯常做法。穆斯林以此用语来描述伊斯兰教先知穆罕默德的言行习性。
莓果	莓果是一种小的、果肉状的且可经常食用的水果。莓果通常呈现圆形且色泽明亮及光滑，味甜或酸，尽管外表可能附著许多种子或果仁。
臀铃	臀铃（赛夏语：Tabaa'sang），又称为臀板或是背响，是台湾原住民赛夏族巴斯达隘唯一的传统乐器，具有避邪招福的作用。
港后	港后，是台湾云林县二仑乡的一个传统地域名称，位于该乡东北部。相较于今日行政区，其范围大致包括港后村不含东南半叶的东北部。
肥遗	肥遗，是中国古代传说中的蛇妖，见载于《山海经》中的西山经和北山经。亦有声韵学专家认为「肥遗」跟「巴蛇」其实是同一种妖蛇。
戈姓	戈姓（古音guo 古禾切）是中文姓氏之一，在《百家姓》中排第341位。戈氏在明清之前甚为罕见，在明清之时则为较常见姓氏。
保延	保延（1135年6月10日－1141年8月13日）是日本的年号之一。使用这个年号的天皇是崇德天皇，并由鸟羽上皇实施院政。
丁当	丁当，浙江嘉善人，是一位在台湾出道的歌手，被誉为「全民情歌天后」。丁当活跃于台湾、中国大陆、马来西亚、香港、新加坡等地。
音障	音障（Sound barrier），是一种物理现象。当物体（通常是航空器）的速度接近音速时，将会逐渐追上自己发出的声波。
呼告	呼告是用于中文的一种修辞法。这种修辞，从正在叙述的事情，忽然改变语气，转而用对话的方式来呼喊，以此来呈现出语句中的情绪。
三科	三科，又称三法，佛教术语，是在阿毗达磨中对于一切法的分类方法之一。部派佛教论书中，将一切法分为蕴、处、界三者，合称三科。
博德	博德（Bodø 聆听；吕勒萨米语：Bådåddjo；皮特萨米语：Buvdda；Budejju）是挪威诺尔兰郡的一个市镇。
声闻	声闻（巴利文：Sāvaka；梵文：Śrāvaka），佛教术语，是以佛陀为师，遵从佛陀的言传身教，持戒修行证得沙门果的人。
